Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,ID
25,Sebastian Aho,D,5-10,186,L/-,2,February 17 1996,ahose02
56,Andy Andreoff,LW,6-1,208,L/-,6,May 17 1991,andrean01
12,Josh Bailey,C,6-1,200,L/-,13,October 2 1989,bailejo01
13,Mathew Barzal,C,6-1,190,R/-,5,May 26 1997,barzama01
18,Anthony Beauvillier,LW,5-11,180,L/-,5,June 8 1997,beauvan01
20,Kieffer Bellows,LW,6-1,195,L/-,2,June 10 1998,belloki01
33,Zdeno Chara,D,6-9,250,L/-,23,March 18 1977,charazd01
53,Casey Cizikas,C,5-11,190,L/-,10,February 27 1991,cizikca01
15,Cal Clutterbuck,RW,6-0,212,R/-,14,November 18 1987,cluttca01
10,Austin Czarnik,C,5-9,170,R/-,5,December 12 1992,czarnau01
28,Michael Dal Colle,LW,6-3,195,L/-,4,June 20 1996,dalcomi01
8,Noah Dobson,D,6-4,194,R/-,2,January 7 2000,dobsono01
4,Andy Greene,D,5-11,190,L/-,15,October 30 1982,greenan01
42,Thomas Hickey,D,6-0,185,L/-,8,February 8 1989,hicketh01
7,Grant Hutton,D,6-4,214,R/-,R,July 25 1995,huttogr01
32,Ross Johnston,LW,6-5,230,L/-,5,February 18 1994,johnsro02
36,Otto Koivula,LW,6-5,225,L/-,1,September 1 1998,koivuot01
47,Leo Komarov,C,5-11,205,L/-,8,January 23 1987,komarle01
34,Paul Ladue,D,6-3,205,R/-,4,September 6 1992,laduepa01
27,Anders Lee (C),LW,6-3,235,L/-,9,July 3 1990,leean01
17,Matt Martin,LW,6-3,220,L/-,12,May 8 1989,martima02
24,Scott Mayfield,D,6-5,220,R/-,7,October 14 1992,mayfisc01
29,Brock Nelson,C,6-4,201,L/-,8,October 15 1991,nelsobr01
44,Jean-Gabriel Pageau,C,5-11,185,R/-,9,November 11 1992,pageaje01
21,Kyle Palmieri,RW,6-0,190,R/-,11,February 1 1991,palmiky01
16,Richard Panik,RW,6-2,210,L/-,9,February 7 1991,panikri01
11,Zach Parise,LW,5-11,195,L/-,16,July 28 1984,parisza01
3,Adam Pelech,D,6-3,210,L/-,6,August 16 1994,pelecad01
6,Ryan Pulock,D,6-2,216,R/-,6,October 6 1994,pulocry01
2,Robin Salo,D,6-2,190,L/-,R,October 13 1998,saloro01
35,Cory Schneider,G,6-2,210,-/L,12,March 18 1986,schneco01
30,Ilya Sorokin,G,6-3,195,L/-,1,August 4 1995,sorokil01
40,Semyon Varlamov,G,6-2,210,-/L,13,April 27 1988,varlasi01
26,Oliver Wahlstrom,RW,6-2,204,R/-,2,June 13 2000,wahlsol01
