Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
44,Michael Anderson,D,,,L/-,2,May 25 1999,andermi02
28,Jaret Anderson-Dolan,C,5-11,188,L/-,3,September 12 1999,anderja01
17,Lias Andersson,C,5-11,190,L/-,4,October 13 1998,anderli01
33,Viktor Arvidsson,LW,5-10,185,R/-,7,April 8 1993,arvidvi01
22,Andreas Athanasiou,C,6-2,190,L/-,6,August 6 1994,athanan01
7,Tobias Bjornfot,D,6-0,205,L/-,2,April 6 2001,bjornto01
23,Dustin Brown,RW,6-0,210,R/-,17,November 4 1984,browndu01
55,Quinton Byfield,C,6-5,220,L/-,1,August 19 2002,byfiequ01
58,Kale Clague,D,6-0,190,L/-,2,June 5 1998,claguka01
24,Phillip Danault,C,6-1,200,L/-,7,February 24 1993,danauph01
8,Drew Doughty,D,6-1,205,R/-,13,December 8 1989,doughdr01
50,Sean Durzi,D,,,R/-,R,October 21 1998,durzise01
2,Alexander Edler,D,6-3,215,L/-,15,April 21 1986,edleral01
68,Samuel Fagemo,LW,6-0,200,R/-,R,March 14 2000,fagemsa01
29,Martin Frk,RW,6-1,210,R/-,5,October 5 1993,frkma01
91,Carl Grundstrom,RW,6-0,200,L/-,3,December 1 1997,grundca01
19,Alex Iafallo,C,6-0,190,L/-,4,December 21 1993,iafalal01
34,Arthur Kaliyev,RW,6-2,190,L/-,1,June 26 2001,kaliyar01
9,Adrian Kempe,LW,6-2,205,L/-,5,September 13 1996,kempead01
11,Anze Kopitar (C),C,6-3,225,L/-,15,August 24 1987,kopitan01
89,Rasmus Kupari,C,6-1,183,R/-,1,March 15 2000,kuparra01
48,Brendan Lemieux,LW,6-1,215,L/-,4,March 15 1996,lemiebr01
46,Blake Lizotte,C,5-8,185,L/-,3,December 13 1997,lizotbl01
6,Olli Maatta,D,6-2,210,L/-,8,August 22 1994,maattol01
12,Trevor Moore,LW,5-10,185,L/-,3,March 31 1995,mooretr01
57,Jacob Moverare,D,6-3,200,L/-,R,August 31 1998,moverja01
40,Calvin Petersen,G,6-2,185,-/R,3,October 19 1994,peterca01
32,Jonathan Quick,G,6-1,215,-/L,14,January 21 1986,quickjo01
3,Matt Roy,D,6-1,200,R/-,3,March 1 1995,royma04
80,Garret Sparks,G,6-3,205,-/-,3,June 28 1993,sparkga01
53,Jordan Spence,D,5-10,180,R/-,R,February 24 2001,spencjo01
51,Troy Stecher,D,5-10,186,R/-,5,April 7 1994,stechtr01
71,Austin Strand,D,6-3,216,R/-,1,February 17 1997,stranau01
21,Vladimir Tkachev,F,5-11,170,R/-,R,October 5 1995,tkachvl02
39,Alex Turcotte,C,5-11,185,L/-,R,February 26 2001,turcoal02
36,T.J. Tynan,C,5-8,160,R/-,2,February 25 1992,tynant.01
13,Gabriel Vilardi,C,6-3,200,R/-,2,August 16 1999,vilarga01
26,Sean Walker,D,5-11,195,R/-,3,November 13 1994,walkese01
86,Christian Wolanin,D,6-2,190,L/-,4,March 17 1995,wolanch01
