Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
22,Mason Appleton,C,6-2,193,R/-,3,January 15 1996,applema01
12,Alex Barre-Boulet,F,5-10,180,L/-,1,May 21 1997,barreal01
14,Nathan Bastian,RW,6-4,205,R/-,2,December 6 1997,bastina01
10,Matthew Beniers,C,6-2,175,L/-,R,November 5 2002,beniema01
43,Colin Blackwell,C,5-9,190,R/-,3,March 28 1993,blackco01
3,William Borgen,D,6-3,205,R/-,2,December 19 1996,borgewi01
2,Dennis Cholowski,D,6-2,210,L/-,3,February 15 1998,cholode01
27,Austin Czarnik,C,5-9,170,R/-,5,December 12 1992,czarnau01
35,Joey Daccord,G,6-2,197,-/L,2,August 19 1996,daccojo01
9,Ryan Donato,C,6-0,192,L/-,4,April 9 1996,donatry01
72,Joonas Donskoi,RW,6-0,190,R/-,6,April 13 1992,donskjo01
60,Chris Driedger,G,6-4,208,-/-,5,May 18 1994,driedch01
29,Vince Dunn,D,6-0,203,L/-,4,October 29 1996,dunnvi02
7,Jordan Eberle,RW,5-11,187,R/-,11,May 15 1990,eberljo01
8,Cale Fleury,D,6-1,213,R/-,1,November 19 1998,fleurca01
4,Haydn Fleury,D,6-3,208,L/-,4,July 8 1996,fleurha01
67,Morgan Geekie,C,6-3,192,R/-,2,July 20 1998,geekimo01
5,Mark Giordano (C),D,6-1,200,L/-,15,October 3 1983,giordma01
37,Yanni Gourde,C,5-9,173,L/-,6,December 15 1991,gourdya01
31,Philipp Grubauer,G,6-1,188,-/L,9,November 25 1991,grubaph01
19,Calle Jarnkrok,C,5-11,186,R/-,8,September 25 1991,jarnkca01
90,Marcus Johansson,C/W,6-1,203,L/-,11,October 6 1990,johanma03
25,Karson Kuhlman,C,5-11,185,R/-,3,September 26 1995,kuhlmka01
6,Adam Larsson,D,6-3,208,R/-,10,November 12 1992,larssad01
55,Jeremy Lauzon,D,6-1,204,L/-,3,April 28 1997,lauzoje01
73,Kole Lind,RW,6-1,178,R/-,1,October 16 1998,lindko01
16,Jared McCann,C,6-1,185,L/-,6,May 31 1996,mccanja01
71,Max McCormick,LW,5-11,188,L/-,5,May 1 1992,mccorma01
24,Jamie Oleksiak,D,6-7,255,L/-,9,December 21 1992,oleksja01
51,Derrick Pouliot,D,6-0,196,L/-,6,January 16 1994,poulide01
49,Victor Rask,C,6-2,200,L/-,7,March 1 1993,raskvi01
17,Jaden Schwartz,C,5-10,190,L/-,10,June 25 1992,schwaja01
15,Riley Sheahan,C,6-2,216,L/-,10,December 7 1991,sheahri01
28,Carson Soucy,D,6-5,211,L/-,3,July 27 1994,soucyca01
91,Daniel Sprong,RW,6-0,200,R/-,5,March 17 1997,spronda01
13,Brandon Tanev,LW,6-0,180,L/-,6,December 31 1991,tanevbr01
11,Alexander True,F,6-5,200,-/-,2,July 17 1997,trueal01
21,Alexander Wennberg,C,6-2,197,L/-,7,September 22 1994,wennbal01
