Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
60,Hugo Alnefelt,G,6-2,177,-/L,R,June 4 2001,alnefhu01
12,Alex Barre-Boulet,F,5-10,180,L/-,1,May 21 1997,barreal01
41,Pierre-Edouard Bellemare,LW,6-0,198,L/-,7,March 6 1985,bellepi01
24,Zach Bogosian,D,6-2,200,R/-,13,July 15 1990,bogosza01
81,Erik Cernak,D,6-3,230,R/-,3,May 28 1997,cernaer01
71,Anthony Cirelli,C,6-0,191,L/-,4,July 15 1997,cirelan01
3,Fredrik Claesson,D,6-1,196,L/-,6,November 24 1992,claesfr01
79,Ross Colton,C,6-0,191,L/-,1,September 11 1996,coltoro01
74,Sean Day,D,6-3,218,L/-,R,January 9 1998,dayse01
38,Remi Elie,LW,6-1,216,L/-,3,April 16 1995,eliere01
1,Brian Elliott,G,6-2,208,-/L,14,April 9 1985,elliobr01
52,Callan Foote,D,6-4,227,R/-,1,December 13 1998,footeca01
82,Gabriel Fortier,LW,5-10,173,L/-,R,February 6 2000,fortiga01
38,Brandon Hagel,LW,5-11,174,L/-,2,August 27 1998,hagelbr01
77,Victor Hedman,D,6-6,241,L/-,12,December 18 1990,hedmavi01
7,Mathieu Joseph,RW,6-1,190,L/-,3,February 9 1997,josepma01
13,Boris Katchouk,LW,6-2,206,L/-,R,June 18 1998,katchbo01
17,Alex Killorn,C/LW,6-1,199,L/-,9,September 14 1989,killoal01
86,Nikita Kucherov,RW,5-11,183,L/-,7,June 17 1993,kucheni01
33,Maxime Lagace,G,6-2,190,-/-,3,January 12 1993,lagacma01
14,Pat Maroon,LW,6-3,238,L/-,10,April 23 1988,maroopa01
27,Ryan McDonagh,D,6-1,215,L/-,11,June 13 1989,mcdonry01
20,Riley Nash,C,6-2,188,R/-,10,May 9 1989,nashri02
18,Ondrej Palat,LW,6-0,194,L/-,9,March 28 1991,palaton01
20,Nick Paul,LW,6-3,224,L/-,6,March 20 1995,paulni01
10,Corey Perry,RW,6-3,206,R/-,16,May 16 1985,perryco01
21,Brayden Point,C,5-11,183,R/-,5,March 13 1996,pointbr01
43,Darren Raddysh,D,6-1,200,R/-,R,February 28 1996,raddyda01
16,Taylor Raddysh,RW,6-3,198,R/-,R,February 18 1998,raddyta01
44,Jan Rutta,D,6-3,204,R/-,4,July 29 1990,ruttaja02
98,Mikhail Sergachev,D,6-3,216,L/-,5,June 25 1998,sergami01
91,Steven Stamkos (C),C,6-1,193,R/-,13,February 7 1990,stamkst01
29,Andrej Sustr,D,6-7,217,R/-,7,November 29 1990,sustran01
88,Andrei Vasilevskiy,G,6-3,225,-/-,7,July 25 1994,vasilan02
