Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
26,Nicholas Abruzzese,C,5-9,161,L/-,R,June 4 1999,abruzni01
18,Michael Amadio,C,6-1,204,R/-,4,May 13 1996,amadimi01
28,Joey Anderson,RW,5-11,190,R/-,3,June 19 1998,anderjo08
33,Alex Biega,D,5-10,199,R/-,7,April 4 1988,biegaal01
11,Colin Blackwell,C,5-9,190,R/-,3,March 28 1993,blackco01
78,T.J. Brodie,D,6-1,185,L/-,11,June 7 1990,broditj01
58,Michael Bunting,LW,5-11,197,L/-,2,September 17 1995,buntimi01
36,Jack Campbell,G,6-2,197,-/-,6,January 9 1992,campbja01
43,Kyle Clifford,LW,6-2,211,L/-,11,January 13 1991,cliffky01
48,Carl Dahlstrom,D,6-4,221,L/-,3,January 28 1995,dahlsca01
23,Travis Dermott,D,6-0,205,L/-,4,December 22 1996,dermotr01
47,Pierre Engvall,LW,6-5,214,L/-,2,May 31 1996,engvapi01
55,Mark Giordano,D,6-1,200,L/-,15,October 3 1983,giordma01
3,Justin Holl,D,6-4,211,R/-,4,January 30 1992,hollju01
30,Michael Hutchinson,G,6-3,198,-/-,8,March 2 1990,hutchmi01
50,Erik Kallgren,G,,,-/L,R,October 14 1996,kallger01
64,David Kampf,C,6-2,188,L/-,4,January 12 1995,kampfda01
25,Ondrej Kase,RW,6-0,187,R/-,5,November 8 1995,kaseon01
15,Alexander Kerfoot,C,5-10,185,L/-,4,August 11 1994,kerfoal01
37,Timothy Liljegren,D,6-0,198,R/-,2,April 30 1999,liljeti01
26-46,Ilya Lyubushkin,D,6-2,208,R/-,3,April 6 1994,lyubuil01
16,Mitch Marner,RW,6-0,175,R/-,5,May 5 1997,marnemi01
34,Auston Matthews,C,6-3,220,L/-,5,September 17 1997,matthau01
65,Ilya Mikheyev,F,6-3,195,L/-,2,October 10 1994,mikheil01
35,Petr Mrazek,G,6-1,190,-/L,9,February 14 1992,mrazepe01
8,Jake Muzzin,D,6-3,217,L/-,10,February 21 1989,muzzija01
88,William Nylander,C,6-0,196,R/-,6,May 1 1996,nylanwi01
44,Morgan Rielly,D,6-1,219,L/-,8,March 9 1994,riellmo01
20,Nick Ritchie,LW,6-2,230,L/-,6,December 5 1995,ritchni01
89,Nicholas Robertson,LW,5-9,183,L/-,1,September 11 2001,roberni01
56,Kristians Rubins,D,6-5,227,L/-,R,December 11 1997,rubinkr01
38,Rasmus Sandin,D,5-11,183,L/-,2,March 7 2000,sandira01
94,Kirill Semyonov,C,6-1,176,L/-,R,October 27 1994,semyoki01
43-62,Brett Seney,LW,5-9,156,L/-,2,February 28 1996,seneybr01
24,Wayne Simmonds,RW,6-2,185,R/-,13,August 26 1988,simmowa01
19,Jason Spezza,C,6-3,216,R/-,18,June 13 1983,spezzja01
46,Alex Steeves,F,5-10,165,L/-,R,December 10 1999,steeval02
91,John Tavares (C),C,6-1,215,L/-,12,September 20 1990,tavarjo01
60,Joseph Woll,G,6-4,203,-/L,R,July 12 1998,wolljo01
