Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
15,Josh Archibald,RW,5-10,176,R/-,6,October 6 1992,archijo01
22,Tyson Barrie,D,5-11,197,R/-,10,July 26 1991,barrity01
16,Tyler Benson,LW,5-11,190,L/-,1,March 15 1998,bensoty01
75,Evan Bouchard,D,6-3,194,R/-,2,October 20 1999,bouchev01
16,Derick Brassard,C,6-1,202,L/-,14,September 22 1987,brassde01
86,Philip Broberg,D,6-3,199,L/-,R,June 25 2001,brobeph01
5,Cody Ceci,D,6-2,210,R/-,8,December 21 1993,cecico01
29,Leon Draisaitl,C,6-2,208,L/-,7,October 27 1995,draisle01
37,Warren Foegele,LW,6-2,198,L/-,4,April 1 1996,foegewa01
23,Seth Griffith,C,5-9,190,R/-,4,January 4 1993,griffse01
18,Zach Hyman,C,6-1,211,R/-,6,June 9 1992,hymanza01
91,Evander Kane,LW,6-2,210,L/-,12,August 2 1991,kaneev01
44,Zack Kassian,RW,6-3,211,R/-,10,January 24 1991,kassiza01
2,Duncan Keith,D,6-1,193,L/-,16,July 16 1983,keithdu01
20,Slater Koekkoek,D,6-2,193,L/-,7,February 18 1994,koekksl01
19,Mikko Koskinen,G,6-7,202,-/L,4,July 18 1988,koskimi01
27,Brett Kulak,D,6-1,197,L/-,7,January 6 1994,kulakbr01
84,William Lagesson,D,6-2,207,L/-,2,February 22 1996,lageswi01
24,Brad Malone,C/LW,6-2,219,L/-,7,May 20 1989,malonbr01
65,Cooper Marody,C,6-0,184,R/-,1,December 20 1996,marodco01
97,Connor McDavid (C),C,6-1,193,L/-,6,January 13 1997,mcdavco01
71,Ryan McLeod,C,6-2,199,L/-,1,September 21 1999,mcleory01
80,Markus Niemeläinen,D,,,L/-,R,June 8 1998,niemema01
93,Ryan Nugent-Hopkins,C,6-0,184,L/-,10,April 12 1993,nugenry01
25,Darnell Nurse,D,6-4,221,L/-,7,February 4 1995,nurseda01
42,Brendan Perlini,LW,6-3,211,L/-,4,April 27 1996,perlibr01
13,Jesse Puljujarvi,RW,6-4,201,R/-,4,May 7 1998,puljuje01
6,Kris Russell,D,5-10,170,L/-,14,May 2 1987,russekr01
10,Derek Ryan,C,5-10,185,R/-,6,December 29 1986,ryande01
58,Dmitri Samorukov,D,6-3,188,L/-,R,June 16 1999,samordm01
70,Colton Sceviour,C/RW,6-0,192,R/-,10,April 20 1989,scevico01
14,Devin Shore,C,6-1,206,L/-,6,July 19 1994,shorede01
74,Stuart Skinner,G,6-4,206,-/L,1,November 1 1998,skinnst01
41,Mike Smith,G,6-5,220,-/L,15,March 22 1982,smithmi01
8,Kyle Turris,C,6-1,190,R/-,13,August 14 1989,turriky01
56,Kailer Yamamoto,RW,5-8,153,R/-,4,September 29 1998,yamamka01
