Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,ID
47,Morgan Barron,C,6-4,220,L/-,1,December 2 1998,barromo01
91,Sammy Blais,LW,6-2,205,L/-,4,June 17 1996,blaissa01
61,Justin Braun,D,6-2,203,R/-,11,February 10 1987,braunju01
76,Jonny Brodzinski,C,6-1,215,R/-,5,June 19 1993,brodzjo01
72,Filip Chytil,C,6-2,206,L/-,4,September 5 1999,chytifi01
18,Andrew Copp,C,6-1,206,L/-,7,July 8 1994,coppan01
23,Adam Fox,D,,,R/-,2,February 17 1998,foxad01
15,Julien Gauthier,RW,6-4,227,R/-,2,October 15 1997,gauthju01
40,Alexandar Georgiev,G,6-1,177,-/L,4,February 10 1996,georgal01
26,Timothy Gettinger,LW,6-6,218,L/-,3,April 14 1998,gettiti01
21,Barclay Goodrow,RW,6-2,203,L/-,7,February 26 1993,goodrba01
28,Anthony Greco,RW,5-10,174,R/-,1,September 30 1993,grecoan01
25,Libor Hajek,D,6-2,203,L/-,3,February 4 1998,hajekli01
29,Dryden Hunt,LW,6-0,193,L/-,4,November 24 1995,huntdr01
32,Adam Huska,G,,,-/L,R,May 12 1997,huskaad01
6,Zachary Jones,D,5-11,185,L/-,1,October 18 2000,jonesza01
24,Kaapo Kakko,RW,6-3,199,L/-,2,February 13 2001,kakkoka01
71,Keith Kinkaid,G,6-3,186,-/L,8,July 4 1989,kinkake01
20,Chris Kreider,LW,6-3,217,L/-,9,April 30 1991,kreidch01
13,Alexis Lafreniere,LW,6-2,193,L/-,1,October 11 2001,lafreal01
55,Ryan Lindgren,D,6-0,191,L/-,3,February 11 1998,lindgry01
27,Nils Lundkvist,D,5-11,187,R/-,R,July 27 2000,lundkni01
14,Greg McKegg,C,6-0,194,L/-,8,June 17 1992,mckeggr01
79,K'Andre Miller,D,6-5,210,L/-,1,January 21 2000,milleka01
64,Tyler Motte,C,5-10,192,L/-,5,March 10 1995,mottety01
12,Patrik Nemeth,D,6-3,228,L/-,8,February 8 1992,nemetpa01
10,Artemi Panarin,LW,5-11,170,R/-,6,October 30 1991,panarar01
75,Ryan Reaves,RW,6-2,225,R/-,11,January 20 1987,reavery01
17,Kevin Rooney,C,6-2,190,L/-,5,May 21 1993,rooneke01
45,Braden Schneider,D,6-2,210,R/-,R,September 20 2001,schnebr01
31,Igor Shesterkin,G,6-2,181,L/-,2,December 30 1995,shestig01
16,Ryan Strome,C,6-1,193,R/-,8,July 11 1993,stromry01
5,Jarred Tinordi,D,6-6,229,L/-,6,February 20 1992,tinorja01
8,Jacob Trouba,D,6-3,209,R/-,8,February 26 1994,troubja01
77,Frank Vatrano,LW,5-11,197,L/-,6,March 14 1994,vatrafr01
93,Mika Zibanejad,C,6-2,208,R/-,10,April 18 1993,zibanmi01
