Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
26,Riley Barber,RW,6-0,199,R/-,2,February 7 1994,barberi01
59,Tyler Bertuzzi,LW,6-1,199,L/-,5,February 24 1995,bertuty01
42,Kyle Criscuolo,C,5-8,180,R/-,1,May 5 1992,criscky01
65,Danny DeKeyser,D,6-3,190,L/-,9,March 7 1990,dekeyda01
57,Turner Elson,LW,6-0,191,L/-,1,September 13 1992,elsontu01
73,Adam Erne,LW,6-1,212,L/-,5,April 20 1995,ernead01
14,Robby Fabbri,C,5-10,190,L/-,5,January 22 1996,fabbrro01
89,Sam Gagner,C,5-11,200,R/-,14,August 10 1989,gagnesa01
29,Thomas Greiss,G,6-2,232,-/L,12,January 29 1986,greisth01
45,Magnus Hellberg,G,6-6,220,-/-,3,April 4 1991,hellbma01
25,Taro Hirose,LW,5-10,162,L/-,3,June 30 1996,hirosta01
17,Filip Hronek,D,6-0,183,R/-,3,November 2 1997,hronefi01
84,Olli Juolevi,D,6-2,182,L/-,1,May 5 1998,juoleol01
71,Dylan Larkin (C),C,6-1,198,L/-,6,July 30 1996,larkidy01
2,Nick Leddy,D,6-0,206,L/-,11,March 20 1991,leddyni01
28,Gustav Lindstrom,D,6-2,190,R/-,2,October 20 1998,lindsgu01
92,Vladislav Namestnikov,C,6-0,184,L/-,8,November 22 1992,namesvl01
39,Alex Nedeljkovic,G,6-0,189,-/-,4,January 7 1996,nedelal01
82,Jordan Oesterle,D,6-0,182,L/-,7,June 25 1992,oestejo01
46,Chase Pearson,C,,,L/-,R,August 23 1997,pearsch01
31,Calvin Pickard,G,6-1,210,-/-,7,April 15 1992,pickaca01
27,Michael Rasmussen,C,6-6,229,L/-,2,April 17 1999,rasmumi01
23,Lucas Raymond,LW,5-10,183,R/-,R,March 28 2002,raymolu01
21,Dan Renouf,D,6-1,198,L/-,2,June 1 1994,renouda01
37,Carter Rowney,RW,6-1,208,R/-,5,May 10 1989,rowneca01
53,Moritz Seider,D,6-4,203,R/-,R,April 6 2001,seidemo01
64,Gemel Smith,C,5-10,203,L/-,5,April 16 1994,smithge02
48,Givani Smith,RW,6-2,210,L/-,2,February 28 1998,smithgi01
18,Marc Staal,D,6-4,213,L/-,14,January 13 1987,staalma01
70,Troy Stecher,D,5-10,186,R/-,5,April 7 1994,stechtr01
22,Mitchell Stephens,C,5-11,190,R/-,2,February 5 1997,stephmi01
70,Oskar Sundqvist,C,6-3,209,R/-,6,March 23 1994,sundqos01
24,Pius Suter,F,5-9,176,L/-,1,May 24 1996,suterpi01
90,Joe Veleno,C,6-1,198,L/-,1,January 13 2000,velenjo01
15,Jakub Vrana,LW,6-0,195,L/-,5,February 28 1996,vranaja01
8,Jake Walman,D,6-1,170,L/-,2,February 20 1996,walmaja01
20,Luke Witkowski,D,6-2,210,R/-,6,April 14 1990,witkolu01
11,Filip Zadina,RW,6-0,189,L/-,3,November 27 1999,zadinfi01
