Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
41,Craig Anderson,G,6-2,186,-/L,18,May 21 1981,andercr01
74,Rasmus Asplund,F,5-11,189,L/-,2,December 3 1997,asplura01
46,Brandon Biro,F,5-11,170,L/-,R,March 11 1998,birobr01
96,Anders Bjork,LW,6-0,197,L/-,4,August 5 1996,bjorkan01
78,Jacob Bryson,D,,,L/-,1,November 18 1997,brysoja01
4,Will Butcher,D,5-10,190,L/-,4,January 6 1995,butchwi01
91,Drake Caggiula,LW,5-10,176,L/-,5,June 20 1994,caggidr01
24,Dylan Cozens,C,6-3,188,R/-,1,February 9 2001,cozendy01
26,Rasmus Dahlin,D,6-3,207,L/-,3,April 13 2000,dahlira01
80,Aaron Dell,G,6-0,209,-/-,5,May 4 1989,dellaa01
20,Cody Eakin,C,6-0,196,L/-,10,May 24 1991,eakinco01
45,Casey Fitzgerald,D,5-11,178,R/-,R,February 25 1997,fitzgca01
28,Zemgus Girgensons,C,6-2,213,L/-,7,January 5 1994,girgeze01
8,Robert Hagg,D,6-2,204,L/-,5,February 8 1995,haggro01
15,John Hayden,C,6-3,223,R/-,5,February 14 1995,haydejo01
29,Vinnie Hinostroza,C,5-10,177,R/-,6,April 3 1994,hinosvi01
32,Michael Houser,G,6-2,191,-/R,1,September 13 1992,housemi01
17,Mark Jankowski,C,6-4,212,L/-,5,September 13 1994,jankoma01
10,Henri Jokiharju,D,6-0,199,R/-,3,June 17 1999,jokihhe01
19,Peyton Krebs,C,5-11,181,L/-,1,January 26 2001,krebspe01
1,Ukko-Pekka Luukkonen,G,6-5,217,-/L,1,March 9 1999,luukkuk01
49,Ryan MacInnis,C,6-4,201,L/-,2,February 14 1996,macinry01
33,Colin Miller,D,6-1,199,R/-,6,October 29 1992,milleco02
37,Casey Mittelstadt,C,6-1,196,L/-,4,November 22 1998,mitteca01
57,Brett Murray,LW,6-5,228,L/-,1,July 20 1998,murrabr02
21,Kyle Okposo,RW,6-0,220,R/-,14,April 16 1988,okposky01
71,Victor Olofsson,RW,5-11,182,L/-,3,July 18 1995,olofsvi01
77,John-Jason Peterka,RW,5-11,192,L/-,R,January 14 2002,peterjo01
25,Owen Power,D,6-6,213,L/-,R,November 22 2002,powerow01
6,Ethan Prow,D,5-11,182,R/-,R,November 17 1992,prowet01
13,Mark Pysyk,D,6-1,196,R/-,9,January 11 1992,pysykma01
22,Jack Quinn,RW,6-0,185,R/-,R,September 19 2001,quinnja01
25,Arttu Ruotsalainen,F,5-9,185,L/-,1,October 29 1997,ruotsar01
23,Mattias Samuelsson,D,6-4,226,L/-,1,March 14 2000,samuema02
53,Jeff Skinner,LW/C,5-11,197,L/-,11,May 16 1992,skinnje01
30-47,Malcolm Subban,G,6-2,200,-/-,6,December 21 1993,subbama01
72,Tage Thompson,C,6-7,219,R/-,4,October 30 1997,thompta01
31,Dustin Tokarski,G,6-0,198,-/L,7,September 16 1989,tokardu01
89,Alex Tuch,RW,6-4,222,R/-,5,May 10 1996,tuchal01
86,Christian Wolanin,D,6-2,190,L/-,4,March 17 1995,wolanch01
