Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
23,Andrew Agozzino,LW,5-10,187,L/-,5,January 3 1991,agozzan01
19,Drake Batherson,C,6-3,204,R/-,3,April 27 1998,bathedr01
24,Jacob Bernard-Docker,D,6-0,190,R/-,1,June 30 2000,bernaja01
14,Clark Bishop,C,6-1,197,L/-,3,March 29 1996,bishocl01
26,Erik Brannstrom,D,5-9,181,L/-,3,September 2 1999,branner01
28,Connor Brown,RW,6-0,185,R/-,6,January 14 1994,brownco02
3,Josh Brown,D,6-5,221,R/-,3,January 21 1994,brownjo01
72,Thomas Chabot,D,6-2,190,L/-,5,January 30 1997,chaboth01
15,Michael Del Zotto,D,6-0,195,L/-,12,June 24 1990,delzomi01
63,Tyler Ennis,C,5-9,161,L/-,12,October 6 1989,ennisty01
10,Alex Formenton,LW,6-2,184,L/-,3,September 13 1999,formeal01
31,Anton Forsberg,G,6-2,176,-/-,6,November 27 1992,forsban01
27,Dylan Gambrell,C,6-0,186,R/-,4,August 26 1996,gambrdy01
17,Adam Gaudette,C,6-1,170,R/-,4,October 3 1996,gaudead01
32,Filip Gustavsson,G,6-2,184,-/L,1,June 7 1998,gustafi01
23,Travis Hamonic,D,6-2,205,R/-,11,August 16 1990,hamontr01
29,Dillon Heatherington,D,6-4,215,L/-,2,May 9 1995,heathdi01
5,Nick Holden,D,6-4,214,L/-,10,May 15 1987,holdeni01
21,Mathieu Joseph,RW,6-1,190,L/-,3,February 9 1997,josepma01
47,Mark Kastelic,C,6-3,210,R/-,R,March 11 1999,kastema01
45,Parker Kelly,F,6-0,188,L/-,1,June 14 1999,kellypa01
42,Viktor Lodin,C,6-2,185,L/-,R,June 2 1999,lodinvi01
98,Victor Mete,D,5-9,187,L/-,4,June 7 1998,metevi01
30,Matt Murray,G,6-4,178,-/-,6,May 25 1994,murrama02
9,Joshua Norris,C,6-1,201,L/-,2,May 5 1999,norrijo01
21,Nick Paul,LW,6-3,224,L/-,6,March 20 1995,paulni01
12,Shane Pinto,C,6-2,192,R/-,1,November 12 2000,pintosh01
51,Cole Reinhardt,LW,6-0,200,L/-,R,February 1 2000,reinhco01
49,Scott Sabourin,F,6-4,207,R/-,2,July 30 1992,sabousc01
13,Zach Sanford,LW,6-4,207,L/-,4,November 9 1994,sanfoza01
19,Zachary Senyshyn,RW,6-1,192,R/-,3,March 30 1997,senysza01
20,Logan Shaw,RW,6-3,208,R/-,4,October 5 1991,shawlo01
33,Mads Sogaard,G,6-7,196,-/L,R,December 13 2000,sogaama01
75,Egor Sokolov,F,6-3,222,R/-,R,June 7 2000,sokoleg01
18,Tim Stützle,LW,6-1,187,L/-,1,January 15 2002,stuetti02
60,Lassi Thomson,D,6-0,190,R/-,R,September 24 2000,thomsla01
71,Chris Tierney,C,6-1,204,L/-,7,July 1 1994,tiernch01
7,Brady Tkachuk (C),LW,6-4,211,L/-,3,September 16 1999,tkachbr01
16,Austin Watson,LW,6-4,198,R/-,7,January 13 1992,watsoau01
36,Colin White,C,6-1,197,R/-,5,January 30 1997,whiteco02
22,Nikita Zaitsev,D,6-2,199,R/-,5,October 29 1991,zaitsni01
2,Artem Zub,D,6-2,204,R/-,1,October 3 1995,zubar01
