Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
34,Jake Allen,G,6-2,190,-/L,8,August 7 1990,allenja01
17,Josh Anderson,RW,6-3,226,R/-,7,May 7 1994,anderjo05
40,Joel Armia,RW,6-4,213,R/-,7,May 31 1993,armiajo01
81,Brandon Baddock,LW,6-3,218,L/-,R,March 29 1995,baddobr01
52,Justin Barron,D,6-2,195,R/-,R,November 15 2001,barroju01
60,Alex Belzile,F,6-0,196,R/-,1,August 31 1991,belzial01
24,Adam Brooks,C,6-0,179,L/-,2,May 6 1996,brookad01
41,Paul Byron,LW,5-9,158,L/-,11,April 27 1989,byronpa01
22,Cole Caufield,RW,5-9,162,R/-,1,January 2 2001,caufico01
8,Ben Chiarot,D,6-3,226,L/-,8,May 9 1991,chiarbe01
43,Kale Clague,D,6-0,190,L/-,2,June 5 1998,claguka01
45,Laurent Dauphin,C,6-0,186,-/-,4,March 26 1995,dauphla01
92,Jonathan Drouin,LW,6-0,197,L/-,7,March 28 1995,drouijo01
28,Christian Dvorak,C,6-0,195,L/-,5,February 2 1996,dvorach01
44,Joel Edmundson,D,6-4,227,L/-,6,June 28 1993,edmunjo01
71,Jake Evans,C/RW,6-1,181,R/-,2,June 2 1996,evansja02
11,Brendan Gallagher,RW,5-9,184,R/-,9,May 6 1992,gallabr01
37,Andrew Hammond,G,6-2,224,-/-,5,February 11 1988,hammoan01
54,Jordan Harris,D,5-11,179,L/-,R,July 7 2000,harrijo01
49,Rafaël Harvey-Pinard,LW,5-9,173,L/-,R,January 6 1999,harvera01
88,Cameron Hillis,C,5-10,171,R/-,R,June 24 2000,hillica01
68,Mike Hoffman,C/LW,6-0,180,L/-,10,November 24 1989,hoffmmi02
77,Brett Kulak,D,6-1,197,L/-,7,January 6 1994,kulakbr01
84,William Lagesson,D,6-2,207,L/-,2,February 22 1996,lageswi01
62,Artturi Lehkonen,LW,6-0,176,L/-,5,July 4 1995,lehkoar01
70,Michael McNiven,G,6-1,203,-/L,R,July 9 1997,mcnivmi01
35,Sam Montembeault,G,6-3,199,-/L,2,October 30 1996,montesa01
15,Sami Niku,D,6-1,194,L/-,4,October 10 1996,nikusa01
59,Mattias Norlinder,D,6-0,185,L/-,R,April 12 2000,norlima01
13,Cedric Paquette,C,6-0,204,L/-,8,August 13 1993,paquece01
85,Mathieu Perreault,C,5-10,188,L/-,12,January 5 1988,perrema01
26,Jeff Petry,D,6-3,201,R/-,11,December 9 1987,petryje01
55,Michael Pezzetta,C,6-1,212,L/-,R,March 13 1998,pezzemi01
32,Rem Pitlick,C,5-11,196,L/-,2,April 2 1997,pitlire01
24,Tyler Pitlick,C,6-2,200,R/-,7,November 1 1991,pitlity01
25,Ryan Poehling,C,6-2,197,L/-,2,January 3 1999,poehlry01
31,Carey Price,G,6-3,217,L/L,14,August 16 1987,priceca01
30,Cayden Primeau,G,,,-/L,2,August 11 1999,primeca01
27,Alexander Romanov,D,6-1,215,L/-,1,January 6 2000,romanal01
58,David Savard,D,6-2,233,R/-,10,October 22 1990,savarda01
64,Corey Schueneman,D,6-0,200,L/-,R,September 2 1995,schueco01
14,Nick Suzuki,C,5-11,201,R/-,2,August 10 1999,suzukni01
73,Tyler Toffoli,C,6-0,198,R/-,9,April 24 1992,toffoty01
42,Lukas Vejdemo,C,6-2,196,L/-,1,January 25 1996,vejdelu01
20,Chris Wideman,D,5-10,183,R/-,4,January 7 1990,widemch01
56,Jesse Ylönen,RW,6-0,167,R/-,1,October 3 1999,yloneje01
