Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
59,Calen Addison,D,5-11,180,R/-,1,April 11 2000,addisca01
53,Adam Beckman,LW,6-2,182,L/-,R,May 10 2001,beckmad01
8,Jordie Benn,D,6-2,199,L/-,10,July 26 1987,bennjo01
27,Nick Bjugstad,C,6-6,215,R/-,9,July 17 1992,bjugsni01
12,Matt Boldy,LW,6-2,195,L/-,R,April 5 2001,boldyma01
25,Jonas Brodin,D,6-1,198,L/-,9,July 12 1993,brodijo01
63,Mitchell Chaffee,F,6-0,197,R/-,R,January 26 1998,chaffmi01
56,Joseph Cramarossa,C,6-0,188,L/-,2,October 26 1992,cramajo01
44,Nicolas Deslauriers,LW,6-1,220,L/-,8,February 22 1991,deslani01
52,Connor Dewar,C,5-10,182,L/-,R,June 26 1999,dewarco01
21,Brandon Duhaime,RW,,,L/-,R,May 22 1997,duhaibr01
24,Mathew Dumba,D,6-0,182,R/-,8,July 25 1994,dumbama01
14,Joel Eriksson Ek,C,6-1,208,L/-,5,January 29 1997,eriksjo02
22,Kevin Fiala,LW,5-10,204,L/-,7,July 22 1996,fialake01
29,Marc-Andre Fleury,G,6-2,185,-/L,17,November 28 1984,fleurma01
17,Marcus Foligno,LW,6-3,228,L/-,10,August 10 1991,foligma01
89,Frederick Gaudreau,C,6-0,179,R/-,4,May 1 1993,gaudrfr01
47,Alex Goligoski,D,5-11,185,L/-,14,July 30 1985,goligal01
18,Jordan Greenway,LW,6-6,227,L/-,4,February 16 1997,greenjo02
38,Ryan Hartman,RW,6-0,181,R/-,7,September 20 1994,hartmry01
10,Tyson Jost,C,5-11,187,L/-,5,March 14 1998,jostty01
34,Kaapo Kahkonen,G,6-2,215,L/-,2,August 16 1996,kahkoka01
97,Kirill Kaprizov,LW,5-10,202,L/-,1,April 26 1997,kapriki01
7-29,Dmitry Kulikov,D,6-1,204,L/-,12,October 29 1990,kulikdm01
39,Jon Lizotte,D,6-0,212,L/-,R,November 10 1994,lizotjo01
57,Dakota Mermis,D,6-0,196,L/-,4,January 5 1994,mermida01
4,Jonathon Merrill,D,6-3,196,L/-,8,February 3 1992,merrijo01
5,Jacob Middleton,D,6-3,219,L/-,3,January 2 1996,middlja01
16,Rem Pitlick,C,5-11,196,L/-,2,April 2 1997,pitlire01
49,Victor Rask,C,6-2,200,L/-,7,March 1 1993,raskvi01
37,Kyle Rau,C,5-8,176,L/-,5,October 24 1992,rauky01
23,Marco Rossi,C,5-9,183,L/-,R,September 23 2001,rossima01
58,Mason Shaw,C,5-10,184,L/-,R,November 3 1998,shawma01
46,Jared Spurgeon (C),D,5-9,167,R/-,11,November 29 1989,spurgja01
7,Nico Sturm,C,6-3,206,L/-,3,May 3 1995,sturmni01
33,Cam Talbot,G,6-4,196,-/-,8,July 5 1987,talboca01
36,Mats Zuccarello,LW,5-8,184,L/-,11,September 1 1987,zuccama01
