Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,ID
Justin Abdelkader,LW,49,0,3,-14,25,40,565,26,103,38,31,abdelju01
Pontus Aberg,LW,5,0,1,0,0,4,44,1,1,0,0,abergpo01
Vitaly Abramov,RW,2,1,0,0,2,3,12,0,0,0,0,abramvi01
Noel Acciari,C,66,20,7,2,21,108,1054,103,121,381,414,acciano01
Andrew Agozzino,LW,22,1,2,3,4,10,162,7,25,38,37,agozzan01
Sebastian Aho,F,68,38,28,10,26,206,1321,20,55,409,480,ahose01
Karl Alzner,D,4,0,0,-1,0,4,56,4,1,0,0,alzneka01
Michael Amadio,C,68,6,10,-11,10,99,885,22,21,233,249,amadimi01
Joey Anderson,RW,18,4,2,1,2,21,238,6,16,3,3,anderjo08
Josh Anderson,RW,26,1,3,-8,17,63,418,13,68,7,12,anderjo05
Michael Anderson,D,6,1,0,4,0,9,109,10,10,0,0,andermi02
Jaret Anderson-Dolan,C,4,0,0,-1,0,2,41,0,3,5,8,anderja01
Lias Andersson,C,17,0,1,-8,4,13,162,8,20,41,47,anderli01
Rasmus Andersson,D,70,5,17,-7,57,124,1396,83,51,0,0,anderra01
Andy Andreoff,LW,14,0,1,-3,2,14,119,4,20,4,4,andrean01
Anthony Angello,C,8,1,0,-1,4,5,46,5,13,0,1,angelan01
Artem Anisimov,C,49,15,5,-15,8,87,679,25,6,185,185,anisiar01
Mason Appleton,C,46,5,3,-9,20,55,513,12,20,5,8,applema01
Josh Archibald,RW,62,12,9,-8,12,64,820,44,165,0,2,archijo01
Joel Armia,RW,58,16,14,2,28,155,999,25,146,4,7,armiajo01
Viktor Arvidsson,LW,57,15,13,-4,26,127,924,24,27,11,8,arvidvi01
Rasmus Asplund,F,29,1,2,-4,6,36,314,7,20,49,65,asplura01
Zach Aston-Reese,C,57,6,7,6,28,98,822,30,136,7,16,astonza01
Andreas Athanasiou,C,55,11,15,-46,30,129,871,24,36,43,60,athanan01
Cam Atkinson,RW,44,12,14,2,6,148,785,21,18,27,30,atkinca01
Nicolas Aube-Kubel,RW,36,7,8,1,19,48,406,16,82,1,2,aubekni01
David Backes,C,22,1,5,-1,22,34,207,8,38,27,44,backeda01
Mikael Backlund,C,70,16,29,3,26,157,1256,11,44,368,410,backlmi01
Nicklas Backstrom,C,61,12,42,-1,14,132,1160,45,30,516,532,backsni02
Sven Baertschi,LW,6,0,2,-2,4,7,71,0,5,0,0,baertsv01
Josh Bailey,C,68,14,29,-12,10,94,1149,48,20,128,129,bailejo01
Justin Bailey,RW,2,0,0,0,0,1,11,0,4,0,0,baileju01
Rudolfs Balcers,LW,15,1,2,-2,0,23,182,7,19,0,2,balceru01
Ivan Barbashev,C,69,11,15,3,23,75,928,33,144,149,179,barbaiv01
Riley Barber,RW,9,0,0,-1,2,6,74,1,15,1,0,barberi01
Mark Barberio,D,21,0,2,3,16,29,296,19,13,0,0,barbema01
Cole Bardreau,F,10,1,1,-2,6,10,89,1,21,21,29,bardrco01
Aleksander Barkov,C,66,20,42,2,18,172,1321,35,21,653,550,barkoal01
Tyson Barrie,D,70,5,34,-7,16,169,1531,76,47,0,0,barrity01
Mathew Barzal,C,68,19,41,5,44,171,1363,43,22,228,320,barzama01
Drake Batherson,C,23,3,7,-12,13,32,358,11,51,4,3,bathedr01
Jay Beagle,RW,55,2,6,-9,38,49,691,42,69,401,277,beaglja01
Ethan Bear,D,71,5,16,-4,33,99,1560,106,59,0,0,bearet01
J.C. Beaudin,C,22,0,1,-4,7,18,190,11,51,62,56,beaudje01
Nicolas Beaudin,D,1,0,0,1,0,2,17,2,2,0,0,beaudni01
Nathan Beaulieu,D,38,1,7,15,29,38,646,47,62,0,0,beaulna01
Anthony Beauvillier,LW,68,18,21,-11,15,132,1174,36,86,9,4,beauvan01
