Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,id
Nicholas Abruzzese,C,9,1,0,-1,2,8,92,3,7,2,5,abruzni01
Noel Acciari,C,20,3,5,2,11,32,240,16,48,84,82,acciano01
Calen Addison,D,15,2,2,-4,2,17,207,6,12,0,0,addisca01
Andrew Agozzino,LW,1,0,0,0,0,1,7,0,4,1,2,agozzan01
Jack Ahcan,D,6,1,0,-3,0,5,96,5,8,0,0,ahcanja01
Sebastian Aho,F,79,37,44,18,38,221,1497,23,76,555,504,ahose01
Sebastian Aho,D,36,2,10,-6,10,34,592,42,32,0,0,ahose02
Alexander Alexeyev,D,1,0,0,0,2,0,11,0,1,0,0,alexeal01
Wade Allison,RW,1,0,0,-1,0,2,8,0,1,0,0,alliswa01
Michael Amadio,C,56,11,7,1,15,64,681,16,42,30,42,amadimi01
Joey Anderson,RW,5,0,0,0,0,10,44,0,3,0,0,anderjo08
Josh Anderson,RW,69,19,13,-25,65,151,1189,35,153,20,22,anderjo05
Michael Anderson,D,57,2,6,6,8,58,1147,69,133,0,0,andermi02
Jaret Anderson-Dolan,C,7,0,0,-3,4,5,97,3,12,9,7,anderja01
Lias Andersson,C,20,1,1,-7,12,29,212,3,23,21,26,anderli01
Rasmus Andersson,D,82,4,46,30,28,152,1859,125,63,0,0,anderra01
Andy Andreoff,LW,6,1,0,-1,0,6,60,1,11,9,8,andrean01
Anthony Angello,C,4,0,0,0,2,2,27,0,13,0,1,angelan01
Mason Appleton,C,68,8,13,-1,30,98,1012,20,64,7,15,applema01
Josh Archibald,RW,8,0,1,-2,7,4,72,2,27,2,2,archijo01
Joel Armia,RW,60,6,8,-15,14,103,823,27,104,3,14,armiajo01
Viktor Arvidsson,LW,66,20,29,1,22,227,1121,45,23,12,21,arvidvi01
Rasmus Asplund,F,80,8,19,-5,10,130,1142,14,30,26,35,asplura01
Zach Aston-Reese,C,69,5,10,9,28,78,900,42,231,4,4,astonza01
Andreas Athanasiou,C,28,11,6,7,4,71,427,10,11,13,7,athanan01
Cam Atkinson,RW,73,23,27,-2,10,215,1332,45,20,5,12,atkinca01
Ronald Attard,D,15,2,2,-2,8,16,249,17,24,0,0,attarro01
Nicolas Aube-Kubel,RW,74,11,12,11,47,87,726,18,140,3,9,aubekni01
Mikael Backlund,C,82,12,27,16,30,214,1404,27,62,621,608,backlmi01
Nicklas Backstrom,C,47,6,25,-8,12,68,822,16,16,301,348,backsni02
Brandon Baddock,LW,1,0,0,0,0,0,8,0,6,0,0,baddobr01
Sven Baertschi,LW,1,0,0,-1,0,1,14,0,0,0,0,baertsv01
Kevin Bahl,D,17,1,3,-6,10,16,268,15,28,0,0,bahlke01
Josh Bailey,C,74,14,30,-7,6,87,1250,26,19,43,67,bailejo01
Justin Bailey,RW,14,0,0,-5,6,16,127,6,12,0,1,baileju01
Rudolfs Balcers,LW,61,11,12,-3,20,98,917,43,115,8,12,balceru01
Alexander Barabanov,F,70,10,29,-5,14,103,1203,39,53,0,1,barabal01
Ivan Barbashev,C,81,26,34,4,40,111,1332,28,160,131,197,barbaiv01
Riley Barber,RW,4,0,0,-2,2,4,34,1,3,0,0,barberi01
Aleksander Barkov,C,67,39,49,36,18,214,1360,42,50,713,539,barkoal01
Alex Barre-Boulet,F,16,3,3,0,4,16,176,3,10,6,9,barreal01
Tyson Barrie,D,73,7,34,3,18,149,1384,73,27,0,0,barrity01
Justin Barron,D,7,1,1,-3,0,13,120,5,5,0,0,barroju01
Morgan Barron,C,27,2,3,-4,8,33,265,8,49,30,24,barromo01
Mathew Barzal,C,73,15,44,-15,18,161,1315,17,36,234,271,barzama01
Nathan Bastian,RW,72,12,6,-12,65,97,857,40,210,23,25,bastina01
